id,name,unit_cost,remaining_qty,is_active
1369,1 BY 4 DOME,10.74,15,TRUE
1364,1/4 RECTANGULAR CHEFFING ,0,15,TRUE
1344,10 ÉCLAIR HOLDER PLASTIC,4,15,TRUE
1352,100 BY 1 CUP CAKE PAPER,11,15,TRUE
1381,2 WAY BRUSH ,5,15,TRUE
1388,20 LT BIN,1,15,TRUE
1331,7 WHEEL CUTTER,0.76,15,TRUE
1370,AIRBRUSHER,1,15,TRUE
1330,ALMOND CREAM ,1,15,TRUE
1356,ALMOND DICED,5.34,15,TRUE
1383,ALMOND ESSENCE,15,15,TRUE
1387,ALMOND ESSENCE,1,15,TRUE
1368,ALMOND FLAKES,23.68,15,TRUE
1343,ALMOND FLAKES,18.83,15,TRUE
1367,ALMOND POWDER,18,15,TRUE
1355,APPLE SPIRAL,1.55,15,TRUE
1359,APPLE TURNOVER CUTTER ,1,15,TRUE
1346,APRICOT JAM,1.7,15,TRUE
1353,APRICOTS,9.25,15,TRUE
1363,BAKE SPRAY ,12,15,TRUE
1349,BAKING BEANS,4.55,15,TRUE
1379,BAKING PAPER ,6,15,TRUE
1365,BAKING POWDER,0.15,15,TRUE
1329,BASKET RECTANGULAR,0.15,15,TRUE
1385,BASKET WITH HANDLE,0.15,15,TRUE
1340,BASKETS,0.02,15,TRUE
1358,BATTONE MOULDS ,44,15,TRUE
1334,BICARB,12.39,15,TRUE
1333,BIG LOAF TIN,10,15,TRUE
1339,BIG SPOON ,1,15,TRUE
1373,BIN ,9.5,15,TRUE
1360,BLACK BREAD HOLDER,44,15,TRUE
1332,BLACK COLOUR TUBE,10,15,TRUE
1361,BLAST FREEZER,1.52,15,TRUE
1380,BLOW TORCH ,1,15,TRUE
1382,BLUEBERRY FLAVOUR,1.5,15,TRUE
1386,BOND SCRAPER,27,15,TRUE
1342,BOX CREAM ,1.25,15,TRUE
1390,BREAD KNIFE ,7.2,15,TRUE
1357,BREAD LIFTER BAG ,11,15,TRUE
1377,BREAD MARKING KNIFE,1.8,15,TRUE
1337,BREAD PLASTIC ,1.5,15,TRUE
1354,BREAD ROLLER,1,15,TRUE
1366,BREAD SCORER ,1,15,TRUE
1345,BREAD SLICER,2.8,15,TRUE
1348,BREAK KNIFE BROKEN,0.5,15,TRUE
1350,BRIOCHE BIG TORTE,1.48,15,TRUE
1376,BRIOCHE DOUGH ,30,15,TRUE
1391,BRIOCHE ROUND BIG,1.62,15,TRUE
1347,BRIOCHE SMALL,3,15,TRUE
1374,BRIOCHE SMALL,10,15,TRUE
1351,BROWN FLOUR,13.5,15,TRUE
1335,BROWN SUGAR,0.2,15,TRUE
1378,BRUSH  ,4,15,TRUE
1341,BRUSH HEAD,1,15,TRUE
1394,BUBBLE MOULD ,1,0,TRUE
1393,BUBBLE ROUND MOULD,1,0,TRUE
1372,BUTCHER KNIFE ,14,15,TRUE
1362,BUTTER,14,15,TRUE
1371,BUTTER CREAM ,1.35,15,TRUE
1375,BUTTER PLASTICS ,0,15,TRUE
1389,CAKE BOARD SQUARE BIG,1,15,TRUE
1384,CAKE BOARDS,1.5,15,TRUE
1336,CAKE BOARDS - 10 INCH SQUARE ,1.92,15,TRUE
1338,CAKE BOARDS - 14 INCH SQUARE ,1.92,15,TRUE
1340,CAKE BOARDS 8 INCH ROUND ,1.92,15,TRUE
1342,CAKE BOARDS RECTANGULAR ,1.92,15,TRUE
1344,CAKE BOARDS RECTANGULAR ,1.92,15,TRUE
1346,CAKE BOARDS ROUND - 12 INCH ,1.92,15,TRUE
1348,CAKE BOARDS ROUND 10 INCH ,1.92,15,TRUE
1350,CAKE BOARDS ROUND 14 INCH ,1.92,15,TRUE
1352,CAKE BOXES MED ,1.92,15,TRUE
1354,CAKE FLOUR,1.92,15,TRUE
1356,CAKE MIXER,1.92,15,TRUE
1358,CAKE MOULD MINI,1.92,15,TRUE
1360,CAKE RINGS 26 CM ,1.92,15,TRUE
1362,CARROTS ,1.92,15,TRUE
1364,CASTOR SUGAR,1.92,15,TRUE
1366,CEUAR CUIM,1.92,15,TRUE
1368,CHEFFING DISH RECTANGULAR ,1.92,15,TRUE
1370,CHERRY FALVOUR,1.92,15,TRUE
1372,CHEST FRIDGE ,1.92,15,TRUE
1374,CHILLER,1.92,15,TRUE
1376,CHOC HEART ,1.92,15,TRUE
1378,CHOC HEART MOULD,1.92,15,TRUE
1380,CHOC CHIPS ,1.92,15,TRUE
1382,CHOCOLATE 50 % ,1.92,15,TRUE
1384,CHOCOLATE 54 % ,1.92,15,TRUE
1386,CHOCOLATE 70 %,1.92,15,TRUE
1388,CHOCOLATE BAR ,1.92,15,TRUE
1390,CHOCOLATE MILK,1.92,15,TRUE
1392,CHOCOLATE WHITE ,1.92,15,TRUE
1394,CINAMMON,1.92,15,TRUE
