id,name,category,selling_price,remaining_qty,tax_rate,is_active
1286,PLAIN CROSSAINTS ,MANUFACTURED ITEMS,2,15,15.5,TRUE
1215,BIG CROISSANTS ,MANUFACTURED ITEMS,3,15,15.5,TRUE
1267,MINI  PLAIN CROISSANTS ,MANUFACTURED ITEMS,0.7,15,15.5,TRUE
1240,MED PLAIN CROISSANTS ,MANUFACTURED ITEMS,0.7,15,15.5,TRUE
1314,MED PLAIN CROISSANTS FROZEN ,MANUFACTURED ITEMS,0.7,15,0,TRUE
1230,CHOCOLATE CROSSAINTS ,MANUFACTURED ITEMS,3,15,15.5,TRUE
1310,MINI CHOCOLATE CROISSANTS ,MANUFACTURED ITEMS,0.8,15,0,TRUE
1369,MED CHOCOLATE CROISSANTS  ,MANUFACTURED ITEMS,0.8,15,0,TRUE
1364,CHOC ALMOND CROSSAINTS,MANUFACTURED ITEMS,3,15,0,TRUE
1254,MED CHOCOLATE ALMOND CROISSANTS ,MANUFACTURED ITEMS,0.8,15,15.5,TRUE
1253,MED ALMOND CROISSANTS ,MANUFACTURED ITEMS,0.8,15,15.5,TRUE
1204,MINI ALMOND CROISSANTS ,MANUFACTURED ITEMS,8,15,15.5,TRUE
1296,ALMOND CROISSANTS  ,MANUFACTURED ITEMS,3,15,0,TRUE
1287,CHELSEA ,MANUFACTURED ITEMS,3,15,15.5,TRUE
1344,MINI CHELSEA,MANUFACTURED ITEMS,1.5,15,0,TRUE
1313,DANISH PASTRIES -APRICOT ,MANUFACTURED ITEMS,3,15,0,TRUE
1209,FINANCIERS,MANUFACTURED ITEMS,3,15,15.5,TRUE
1303,SWISS,MANUFACTURED ITEMS,3,15,0,TRUE
1210,KUIGN MANN,MANUFACTURED ITEMS,3,15,15.5,TRUE
1302,PALMIERS,MANUFACTURED ITEMS,2,15,0,TRUE
1326,PATES DE NATES ,MANUFACTURED ITEMS,2,15,0,TRUE
1352,HOT CROSS BUNS ,MANUFACTURED ITEMS,1,15,0,TRUE
1216,CHOCOLATE NIB ,MANUFACTURED ITEMS,3,15,15.5,TRUE
1315,APPLE TURNOVER ,MANUFACTURED ITEMS,3,15,0,TRUE
1381,CROUGHNUTS ,MANUFACTURED ITEMS,5,15,0,TRUE
1388,,MANUFACTURED ITEMS,,15,0,TRUE
1318,BAGUETTE ,MANUFACTURED ITEMS,1.5,15,0,TRUE
1218,KITCHEN BAGUETTE,MANUFACTURED ITEMS,1,15,15.5,TRUE
1331,LONG BAGUETTES,MANUFACTURED ITEMS,2,15,0,TRUE
1227,SOUR DOUGH ,MANUFACTURED ITEMS,4,15,15.5,TRUE
