ch,name,category,selling_price,remaining_qty,tax_rate,is_active,id,,
All Day Breakfast1,Avocado on Toast,,8,15,15.5,TRUE,1286,,
All Day Breakfast1,Eggs Benedict,,10,15,15.5,TRUE,1215,,
All Day Breakfast1,English Breakfast,,12,15,15.5,TRUE,1267,,
All Day Breakfast1,French Toast,,7,15,15.5,TRUE,1240,,
All Day Breakfast1,Omelette,,10,15,15.5,TRUE,1230,,
All Day Breakfast1,Smoked Salmon Brioche,,12,15,0,TRUE,1369,,
All Day Breakfast1,Smoked Salmon Croissant,,12,15,15.5,TRUE,1254,,
Breads ,Baguette,,1.5,15,15.5,TRUE,1253,,
Breads ,Poolish ,,4,15,15.5,TRUE,1204,,
Breads ,Ciabbatta,,4,15,0,TRUE,1296,,
Breads ,Wheat ,,4,15,15.5,TRUE,1287,,
Breads ,Sourdough,,4,15,0,TRUE,1302,,
Breads ,Sourdough wheat ,,4,15,15.5,TRUE,1216,,
Breads ,Seeded,,4,15,0,TRUE,1318,,
Breads ,Long Baguette,,2,15,15.5,TRUE,1218,,
Cafe Classics,Add  chips,,3,15,15.5,TRUE,1256,,
Cafe Classics,Add a salad ,,3,15,15.5,TRUE,1257,,
Cafe Classics,Chicken and Mushroom Pie,,6,15,15.5,TRUE,1258,,
Cafe Classics,Emmental Cheese Pie,,8,15,15.5,TRUE,1245,,
Cafe Classics,Pepper Steak Pie,,7,15,15.5,TRUE,1246,,
Cafe Classics,Burger Gourmand Homemade,,14,15,15.5,TRUE,1211,,
Panini,Cheese & Tomato Panini,,12,15,15.5,TRUE,1275,,
Panini,Beef Panini,,18,15,15.5,TRUE,1276,,
Panini,BBQ Chicken Panini,,14,15,15.5,TRUE,1277,,
Cafe Plates,Chicken Schnitzel,,12,15,0,TRUE,1309,,
Cafe Plates,Tbone Steak-200g,,18,15,15.5,TRUE,1212,,
Cakes ,BUCHE DE NOEL,,55,15,0,TRUE,1356,,
Cakes ,CHOCOLATE CAKE 4-6,,30,15,0,TRUE,1357,,
Cakes ,CHOCOLATE CAKE 8-10,,45,15,0,TRUE,1358,,
Cakes ,CHOCOLATE CAKE 12- 15,,60,15,0,TRUE,1359,,
Cakes ,FRAISIER- 4-6,,30,15,0,TRUE,1360,,
Cakes ,LEMON MERINGUE - LARGE ,,30,15,0,TRUE,1361,,
Cakes ,STRAWBERRY TART LARGE ,,30,15,0,TRUE,1362,,
Cakes ,FRAISIER 8-10,,45,15,0,TRUE,1363,,
Cakes ,FRAISIER - 12 -1 5 ,,60,15,0,TRUE,1364,,
Cakes ,LEMON CAKE 6-8 ,,30,15,0,TRUE,1365,,
Coffee,Add  Almond Milk,,1,15,0,TRUE,1366,,
Coffee,Add Oat Milk  ,,1,15,0,TRUE,1367,,
Coffee,Add a shot of Hazelnut Syrup ,,1,15,0,TRUE,1368,,
Coffee,Add a shot of Vanilla Syrup ,,1,15,0,TRUE,1369,,
Coffee,Add a shot of  Caramel  Syrup ,,1,15,0,TRUE,1370,,
Coffee,Americano (Grande),,4,15,0,TRUE,1371,,
Coffee,Americano (Tall),,3,15,0,TRUE,1372,,
Coffee,Cafe Latte (Grande),,5,15,0,TRUE,1373,,
Coffee,Cafe Latte (Tall),,4,15,0,TRUE,1374,,
Coffee,Cappuccino (Grande),,5,15,0,TRUE,1375,,
Coffee,Cappuccino (Short),,3,15,0,TRUE,1376,,
Coffee,Cappuccino (Tall),,4,15,0,TRUE,1377,,
Coffee,Chai Latte (Grande),,5,15,0,TRUE,1378,,
Coffee,Chai Latte (Tall),,4,15,0,TRUE,1379,,
Coffee,Cortado (Short),,3,15,0,TRUE,1380,,
Coffee,Dirty Chai Latte (Grande),,6,15,0,TRUE,1381,,
Coffee,Dirty Chai Latte (Tall),,5,15,0,TRUE,1382,,
Coffee,Double Espresso (Short),,3,15,0,TRUE,1383,,
Coffee,Espresso (Short),,2,15,0,TRUE,1384,,
Coffee,Flat White (Grande),,5,15,0,TRUE,1385,,
Coffee,Flat White (Short),,3,15,0,TRUE,1386,,
Coffee,Flat White (Tall),,4,15,0,TRUE,1387,,
Coffee,Hot Chocolate (Grande),,5,15,0,TRUE,1388,,
Coffee,Hot Chocolate (Short),,3,15,0,TRUE,1389,,
Coffee,Hot Chocolate (Tall),,4,15,0,TRUE,1390,,
Coffee,Macchiato (Short),,3,15,0,TRUE,1391,,
Coffee,Mochaccino (Grande),,6,15,0,TRUE,1392,,
Coffee,Mochaccino (Tall),,5,15,0,TRUE,1393,,
Coffee,Pistachio and White Chocolate Latte (Grande),,6,15,0,TRUE,1394,,
Coffee,Pistachio and White Chocolate Latte (Tall),,5,15,0,TRUE,1395,,
Cold Drinks,Freshly Squeezed Orange Juice,,4,15,0,TRUE,1396,,
Cold Drinks,Homemade Lemonade,,4,15,0,TRUE,1397,,
Cold Drinks,Iced Coffee,,4,15,0,TRUE,1398,,
Cold Drinks,Milkshake,,5,15,0,TRUE,1340,"needs pop up to ask flavour -vanilla, coffee,chocolate, lime, bubblegum, strawberry",
Cold Drinks,Coke ,,2,15,0,TRUE,1398,,
Cold Drinks,Fanta,,2,15,0,TRUE,1399,,
Cold Drinks,Gingerbeer,,2,15,0,TRUE,1400,,
Cold Drinks,Cream soda,,2,15,0,TRUE,1401,,
Cold Drinks,Coke Zero,,2,15,0,TRUE,1402,,
Cold Drinks,Cherry Plum,,2,15,0,TRUE,1403,,
Cold Drinks,Soda,,2,15,0,TRUE,1404,,
Cold Drinks,Sparkling water ,,2,15,0,TRUE,1405,,
Cold Drinks,Pinenut ,,2,15,0,TRUE,1406,,
Cold Drinks,Sprite ,,2,15,0,TRUE,1407,,
Cold Drinks,Smoothie,,5,15,15.5,TRUE,1203,,
Cold Drinks,Perrier ,,2,15,15.5,TRUE,1214,,
Cold Drinks,Still Water,,1,15,0,TRUE,1358,,
Desserts ,Almond Cake ,,5,15,15.5,TRUE,1221,,
Desserts ,Chocolate Eclair,,3,15,15.5,TRUE,1225,,
Desserts ,Lemon Meringue Tart,,5,15,0,TRUE,1334,,
Desserts ,Macarons ,,1,15,15.5,TRUE,1250,,
Desserts ,Millefeuille,,5,15,15.5,TRUE,1248,,
Desserts ,Paris Brest ,,5,15,15.5,TRUE,1249,,
Desserts ,Chocolate Tart ,,5,15,15.5,TRUE,1250,,
Desserts ,Fruit Tart ,,5,15,15.5,TRUE,1251,,
Desserts ,Coffee Éclair,,3,15,15.5,TRUE,1252,,
Desserts ,Chocolate Éclair ,,3,15,15.5,TRUE,1253,,
Desserts ,Croquembouche ,,1,15,15.5,TRUE,1254,,
Desserts ,St Honoure ,,5,15,15.5,TRUE,1255,,
Desserts ,Paris Brest,,5,15,15.5,TRUE,1249,,
Desserts ,Profiteroles (3 in portion),,2,15,0,TRUE,1333,,
Desserts ,Strawberry Tart,,5,15,0,TRUE,1339,,
Kiddies,Chicken Nuggets and Chips,,8,15,15.5,TRUE,1291,,
Kiddies,Fish Strips with Chips,,9,15,15.5,TRUE,1288,,
Mocktails,Raspberry Dragonfruit Freezo,,6,15,15.5,TRUE,1289,,
Mocktails,Mojito ,,6,15,15.5,TRUE,1290,,
Mocktails,Pomegranate spritz,,6,15,15.5,TRUE,1291,,
Mocktails,Elderflower Spritz,,6,15,15.5,TRUE,1351,,
Mocktails,Strawberry Daiquiri,,6,15,15.5,TRUE,1335,,
Mocktails,White Peach Freezo,,6,15,15.5,TRUE,1280,,
Other Drinks,Concoction,,4,15,15.5,TRUE,1205,,
Other Drinks,Hot Water and Honey,,2,15,15.5,TRUE,1208,,
Other Drinks,Hot Water and Lemon,,2,15,15.5,TRUE,1271,,
Other Drinks,Rooibos,,2,15,15.5,TRUE,1273,,
Other Drinks,Tanganda,,2,15,15.5,TRUE,1297,,
Pastries,Almond Croissant,,3,15,15.5,TRUE,1274,,
Pastries,Butter Croissant,,2,15,15.5,TRUE,1378,,
Pastries,Chelsea,,3,15,15.5,TRUE,1277,,
Pastries,Chocolate & Almond Croissant,,3,15,15.5,TRUE,1235,,
Pastries,Chocolate Croissant,,3,15,15.5,TRUE,1341,,
Pastries,Kouign-amann,,3,10,15.5,TRUE,1392,,
Pastries,Danish ,,3,10,15.5,TRUE,1393,,
Pastries,Apple Turnover ,,3,10,15.5,TRUE,1394,,
Pastries,Financiers,,3,10,15.5,TRUE,1395,,
Mini Pastries ,Mini Chocolate Almond,,0.8,10,15.5,TRUE,1396,,
Mini Pastries ,Mini Chocolate ,,0.8,10,15.5,TRUE,1397,,
Mini Pastries ,Mini Butter ,,0.7,10,15.5,TRUE,1398,,
Mini Pastries ,Mini Almond ,,0.8,10,15.5,TRUE,1399,,
Mini Pastries ,Mini Chelsea,,1,10,15.5,TRUE,1400,,
Mini Pastries ,Mini Lemon Meringue ,,1.5,10,15.5,TRUE,1401,,
Mini Pastries ,Mini Strawberry Tart ,,1.5,10,15.5,TRUE,1402,,
Mini Pastries ,Mini Milliefuille,,2,10,15.5,TRUE,1403,,
Med Pastries ,Med Chocolate Almond ,,2,10,15.5,TRUE,1404,,
Med Pastries ,Med Almond ,,2,10,15.5,TRUE,1405,,
Med Pastries ,Med Butter ,,1,10,15.5,TRUE,1406,,
Med Pastries ,Med Chocolate  ,,2,10,15.5,TRUE,1407,,
Med Pastries ,Med Chelsea ,,1.5,10,15.5,TRUE,1408,,
Pastries,Palmiers ,,2,10,15.5,TRUE,1409,,
Pastries,Swiss Brioche,,3,10,15.5,TRUE,1410,,
Pastries,Pates de Nates ,,2,10,15.5,TRUE,1411,,
Pastries,Croughnuts ,,4,10,15.5,TRUE,1412,,
Savory,Pepper Steak Pie ,,7,15,15.5,TRUE,1290,,
Savory,Cheese Pie ,,8,15,15.5,TRUE,1217,,
Savory,Chicken Mushroom Pie ,,6,15,15.5,TRUE,1294,,
Savory,Sausage Roll,,2,15,15.5,TRUE,1295,,
Savory,Chicken Baguette ,,6,15,15.5,TRUE,1296,,
Savory,Beef Baguette,,9,15,15.5,TRUE,1297,,
Savory,Feta and Olive Baguette ,,6,15,15.5,TRUE,1298,,
Speciality Teas TWG,1837 Black Tea,,3,0,15.5,TRUE,1394,,
Speciality Teas TWG,Bain de Roses,,3,0,15.5,TRUE,1393,,
Speciality Teas TWG,Creme Caramel,,3,15,15.5,TRUE,1372,,
Speciality Teas TWG,Darjeeling,,3,15,15.5,TRUE,1284,,
